时间,开盘价,最高价,最低价,收盘价,成交量,信号类型,置信度,描述,张力,加速度,DXY燃料,量能比率,价格vsEMA%,V7.0.5通过,过滤原因,交易方向,V705执行动作,Unnamed: 18,黄金信号,黄金信号_新
2025/8/19 20:00,113132.49,113589.48,112732.58,112872.94,2625.5971,BEARISH_SINGULARITY,0.7,奇点看空,0.776455353,-0.24964201,0.050583661,1.211057214393044,-2.443886686,True,,做多(反向),做多(反向),,开多,开多
2025/8/20 0:00,112872.95,113636.13,112566.01,113525.91,3116.70576,BEARISH_SINGULARITY,0.7,奇点看空,0.5888154581342092,-0.185379137,0.092627213,1.3651891070313045,-1.703571631,True,,做多(反向),做多(反向),,开仓多,继续持多
2025/8/20 4:00,113525.9,113837.93,113432.0,113490.13,1367.41482,BEARISH_SINGULARITY,0.7,奇点看空,0.4618125735896692,-0.132965752,0.092627213,0.5920290954909955,-1.571953139,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/20 8:00,113490.14,114016.77,113060.08,113666.68,2352.50644,BEARISH_SINGULARITY,0.7,奇点看空,0.410808012,-0.107443675,0.092627213,0.984803652,-1.285444249,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/20 12:00,113666.69,114326.35,112380.0,113353.94,4605.43198,BEARISH_SINGULARITY,0.7,奇点看空,0.4610508304582983,-0.123174889,0.092627213,1.796474068828177,-1.410847421,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/20 16:00,113353.94,114444.0,113264.01,114276.66,2624.00614,BEARISH_SINGULARITY,0.7,奇点看空,0.507319939,-0.145980311,0.092627213,0.992283571,-0.550699516,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/20 20:00,114276.66,114615.38,114000.0,114271.24,1570.2768,BEARISH_SINGULARITY,0.7,奇点看空,0.6087008170529308,-0.188962472,0.092627213,0.5871923921938002,-0.502785443,True,,做多(反向),做多(反向),,平仓/反手空,继续持多
2025/8/21 0:00,114271.23,114821.76,113906.01,113954.62,1626.72781,BEARISH_SINGULARITY,0.7,奇点看空,0.7375359013352162,-0.240481606,-0.211566892,0.604902571,-0.704852513,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/21 4:00,113954.62,114033.84,113582.43,113896.03,1612.36321,BEARISH_SINGULARITY,0.7,奇点看空,0.833616106,-0.279155746,-0.211566892,0.5896713034729272,-0.684407044,True,,做多(反向),做多(反向),,空平/反多,继续持多
2025/8/21 8:00,113896.03,113990.0,113000.0,113148.66,1509.65106,BEARISH_SINGULARITY,0.7,奇点看空,0.9081441169611252,-0.304239846,-0.211566892,0.599126429,-1.210394602,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/21 12:00,113148.65,113995.11,112608.64,112792.08,2521.11028,BEARISH_SINGULARITY,0.7,奇点看空,0.9120268408725936,-0.301923889,-0.211566892,1.018985291684699,-1.378795284,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/21 16:00,112792.08,112969.47,112015.67,112193.71,2468.80417,BEARISH_SINGULARITY,0.7,奇点看空,0.8620255740514035,-0.276584284,-0.211566892,1.004445054882292,-1.723968917,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/21 20:00,112193.71,112870.94,112067.46,112500.0,1101.03582,BEARISH_SINGULARITY,0.7,奇点看空,0.7364675051680669,-0.225722071,-0.211566892,0.463726493,-1.318867095,True,,做多(反向),做多(反向),,空平仓/ 开仓多,继续持多
2025/8/22 0:00,112500.0,113525.0,112335.6,112929.24,1610.19525,BEARISH_SINGULARITY,0.9,强奇点看空,0.5865217625946999,-0.163794531,0.8976858148979668,0.6799056727198388,-0.853370545,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/22 4:00,112929.24,113394.76,112708.81,113094.83,1656.2572,BEARISH_SINGULARITY,0.9,强奇点看空,0.4762606350537448,-0.109605024,0.8976858148979668,0.692879247,-0.640994781,True,,做多(反向),做多(反向),,多平/反空,继续持多
2025/8/22 8:00,113094.83,113319.3,112177.27,112320.0,1932.43574,BEARISH_SINGULARITY,0.9,强奇点看空,0.4755127301481178,-0.084750895,0.8976858148979668,0.8162433694198452,-1.197347783,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/22 16:00,116370.75,117429.05,116116.0,116655.79,4307.94644,BEARISH_SINGULARITY,0.9,强奇点看空,0.3753939233172562,-0.029390683,0.8976858148979668,1.4555707085402383,2.153816431827924,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/22 20:00,116655.79,117174.43,116550.96,116935.99,2115.99447,BEARISH_SINGULARITY,0.9,强奇点看空,0.5752278625736287,-0.068340234,0.8976858148979668,0.7555224549369257,2.165741330382413,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/23 0:00,116936.0,117030.0,115458.2,115568.77,2647.58419,BEARISH_SINGULARITY,0.9,强奇点看空,0.9268175501566248,-0.14684561,0.8976858148979668,0.9649104102932008,0.8779068720239656,True,,做多(反向),做多(反向),,多空仓/反手空,继续持多
2025/8/23 4:00,115568.77,116034.53,115551.2,115799.47,2258.18362,BEARISH_SINGULARITY,0.9,强奇点看空,1.2125810926356646,-0.217149298,0.8976858148979668,0.8285408455879127,0.9754894283090476,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/23 8:00,115799.46,115861.8,115223.43,115310.13,1313.89391,BEARISH_SINGULARITY,0.9,强奇点看空,1.4427621705787668,-0.275433675,0.8976858148979668,0.4985644792101938,0.4962666393018118,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/23 12:00,115310.13,115486.97,114560.0,114812.87,3027.56166,BEARISH_SINGULARITY,0.9,强奇点看空,1.5877212929742175,-0.313017459,0.8976858148979668,1.1137451002913437,0.056896622,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/23 16:00,114812.88,115190.74,114684.11,115133.91,1105.55067,BEARISH_SINGULARITY,0.9,强奇点看空,1.6046830697486965,-0.320504798,0.8976858148979668,0.4162443582562181,0.3045139210257884,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/23 20:00,115133.92,115454.12,115001.88,115438.05,976.58792,BEARISH_SINGULARITY,0.9,强奇点看空,1.5274223807982203,-0.303531215,0.8976858148979668,0.3946493228285967,0.5149647806521009,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/24 0:00,115438.06,115666.68,114934.21,115036.0,1995.92433,BEARISH_SINGULARITY,0.9,强奇点看空,1.4171949325607345,-0.273951723,0.8976858148979668,0.8169413274942211,0.1491620488708169,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/24 4:00,115036.01,115283.21,114846.14,114888.19,1715.6873,BEARISH_SINGULARITY,0.9,强奇点看空,1.280175098027036,-0.235591205,0.8976858148979668,0.7001554125542437,0.018529324,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/24 8:00,114888.19,115060.99,114600.0,114730.22,2223.47925,BEARISH_SINGULARITY,0.9,强奇点看空,1.139269864959213,-0.19501333,0.8976858148979668,0.8964646670920398,-0.107674396,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/24 12:00,114730.22,114869.41,114350.57,114400.0,2662.01905,BEARISH_SINGULARITY,0.9,强奇点看空,1.0192522022452877,-0.158851272,0.8976858148979668,1.051035614462017,-0.357685233,True,,做多(反向),做多(反向),,继续持空,继续持多
2025/8/24 16:00,114400.01,114917.1,110680.0,112600.0,8322.01988,BEARISH_SINGULARITY,0.9,强奇点看空,0.9794101648156004,-0.138467135,0.8976858148979668,2.8962509888814183,-1.745305004,True,,做多(反向),做多(反向),,黄金/空平反多,继续持多
2025/8/24 20:00,112600.0,113692.97,111632.85,113493.59,4256.85481,BEARISH_SINGULARITY,0.9,强奇点看空,0.8821901327914369,-0.114528374,0.8976858148979668,1.4380470235102416,-0.874404982,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/25 0:00,113493.59,113667.28,112159.0,112916.84,2384.9729,BEARISH_SINGULARITY,0.7,奇点看空,0.8172971586939266,-0.099729402,-0.758006309,0.8068319560739156,-1.248527212,True,,做多(反向),做多(反向),,继续持多,继续持多
2025/8/25 4:00,112916.84,113059.52,111284.05,111511.55,4054.02521,BEARISH_SINGULARITY,0.7,奇点看空,0.8016967615958734,-0.096340341,-0.758006309,1.3062239963449849,-2.24687112,True,,做多(反向),做多(反向),,继续持多,继续持多
