时间,信号类型,量能比率,价格vsEMA%,张力,Manual_Action,Final_Prediction,Final_Reason,V7.0.5通过,黄金信号
2025-08-19 20:00:00,BEARISH_SINGULARITY,1.211057214393044,-2.443886686,0.776455353,OPEN,REVERSE_LONG,反多-量能>0.85+价格<-0.5%,True,开多
2025-08-20 00:00:00,BEARISH_SINGULARITY,1.3651891070313045,-1.703571631,0.5888154581342092,OPEN,REVERSE_LONG,反多-量能>0.85+价格<-0.5%,True,开仓多
2025-08-20 04:00:00,BEARISH_SINGULARITY,0.5920290954909955,-1.571953139,0.4618125735896692,HOLD,HOLD,默认观望,True,继续持多
2025-08-20 08:00:00,BEARISH_SINGULARITY,0.984803652,-1.285444249,0.410808012,HOLD,REVERSE_LONG,反多-量能>0.85+价格<-0.5%,True,继续持多
2025-08-20 12:00:00,BEARISH_SINGULARITY,1.796474068828177,-1.410847421,0.4610508304582983,HOLD,REVERSE_LONG,反多-量能>0.85+价格<-0.5%,True,继续持多
2025-08-20 16:00:00,BEARISH_SINGULARITY,0.992283571,-0.550699516,0.507319939,HOLD,REVERSE_LONG,反多-量能>0.85+价格<-0.5%,True,继续持多
2025-08-20 20:00:00,BEARISH_SINGULARITY,0.5871923921938002,-0.502785443,0.6087008170529308,REVERSE_SHORT,HOLD,默认观望,True,平仓/反手空
2025-08-21 00:00:00,BEARISH_SINGULARITY,0.604902571,-0.704852513,0.7375359013352162,HOLD,HOLD,默认观望,True,继续持空
2025-08-21 04:00:00,BEARISH_SINGULARITY,0.5896713034729272,-0.684407044,0.833616106,REVERSE_LONG,HOLD,高张力-避免,True,空平/反多
2025-08-21 08:00:00,BEARISH_SINGULARITY,0.599126429,-1.210394602,0.9081441169611252,HOLD,HOLD,高张力-避免,True,继续持多
2025-08-21 12:00:00,BEARISH_SINGULARITY,1.018985291684699,-1.378795284,0.9120268408725936,HOLD,HOLD,高张力-避免,True,继续持多
2025-08-21 16:00:00,BEARISH_SINGULARITY,1.004445054882292,-1.723968917,0.8620255740514035,HOLD,HOLD,高张力-避免,True,继续持多
2025-08-21 20:00:00,BEARISH_SINGULARITY,0.463726493,-1.318867095,0.7364675051680669,OPEN,HOLD,默认观望,True,空平仓/ 开仓多
2025-08-22 00:00:00,BEARISH_SINGULARITY,0.6799056727198388,-0.853370545,0.5865217625946999,HOLD,HOLD,默认观望,True,继续持多
2025-08-22 04:00:00,BEARISH_SINGULARITY,0.692879247,-0.640994781,0.4762606350537448,REVERSE_LONG,HOLD,默认观望,True,多平/反空
2025-08-22 08:00:00,BEARISH_SINGULARITY,0.8162433694198452,-1.197347783,0.4755127301481178,HOLD,ACTION,V7通过-保留,True,继续持空
2025-08-22 16:00:00,BEARISH_SINGULARITY,1.4555707085402383,2.153816431827924,0.3753939233172562,HOLD,ACTION,V7通过-保留,True,继续持空
2025-08-22 20:00:00,BEARISH_SINGULARITY,0.7555224549369257,2.165741330382413,0.5752278625736287,HOLD,HOLD,默认观望,True,继续持空
